GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0042026	protein refolding	64	26	1.51	5.8e-27
GO:0030512	negative regulation of transforming grow...	57	25	1.34	5.9e-27
GO:1903845	negative regulation of cellular response...	58	25	1.37	1.0e-26
GO:1903321	negative regulation of protein modificat...	90	29	2.12	1.2e-26
GO:0010822	positive regulation of mitochondrion org...	52	24	1.22	1.5e-26
GO:0006626	protein targeting to mitochondrion	67	26	1.58	2.5e-26
GO:0038034	signal transduction in absence of ligand	60	25	1.41	2.9e-26
GO:0097192	extrinsic apoptotic signaling pathway in...	60	25	1.41	2.9e-26
GO:0007339	binding of sperm to zona pellucida	68	26	1.6	4.0e-26
GO:0035036	sperm-egg recognition	68	26	1.6	4.0e-26
GO:0045639	positive regulation of myeloid cell diff...	61	25	1.44	4.8e-26
GO:0070059	intrinsic apoptotic signaling pathway in...	61	25	1.44	4.8e-26
GO:0051092	positive regulation of NF-kappaB transcr...	85	28	2	5.2e-26
GO:0031110	regulation of microtubule polymerization...	86	28	2.02	7.5e-26
GO:0010823	negative regulation of mitochondrion org...	62	25	1.46	7.9e-26
GO:0062207	regulation of pattern recognition recept...	62	25	1.46	7.9e-26
GO:1903533	regulation of protein targeting	55	24	1.29	8.1e-26
GO:0017015	regulation of transforming growth factor...	70	26	1.65	9.8e-26
GO:0060236	regulation of mitotic spindle organizati...	63	25	1.48	1.3e-25
GO:2001237	negative regulation of extrinsic apoptot...	63	25	1.48	1.3e-25
GO:0034605	cellular response to heat	97	29	2.28	1.5e-25
GO:1903844	regulation of cellular response to trans...	71	26	1.67	1.5e-25
GO:0043618	regulation of transcription from RNA pol...	72	26	1.7	2.3e-25
GO:0043620	regulation of DNA-templated transcriptio...	73	26	1.72	3.5e-25
GO:0009988	cell-cell recognition	75	26	1.77	8.1e-25
GO:0090224	regulation of spindle organization	67	25	1.58	8.3e-25
GO:0032273	positive regulation of protein polymeriz...	105	29	2.47	1.9e-24
GO:0000723	telomere maintenance	106	29	2.5	2.5e-24
GO:0032200	telomere organization	106	29	2.5	2.5e-24
GO:0072655	establishment of protein localization to...	78	26	1.84	2.6e-24
GO:0046902	regulation of mitochondrial membrane per...	70	25	1.65	3.0e-24
GO:0070585	protein localization to mitochondrion	79	26	1.86	3.9e-24
GO:0090307	mitotic spindle assembly	71	25	1.67	4.6e-24
GO:0090559	regulation of membrane permeability	71	25	1.67	4.6e-24
GO:1903573	negative regulation of response to endop...	71	25	1.67	4.6e-24
GO:0031396	regulation of protein ubiquitination	130	31	3.06	5.1e-24
GO:0033120	positive regulation of RNA splicing	72	25	1.7	6.9e-24
GO:0090101	negative regulation of transmembrane rec...	72	25	1.7	6.9e-24
GO:0090288	negative regulation of cellular response...	74	25	1.74	1.5e-23
GO:2001236	regulation of extrinsic apoptotic signal...	74	25	1.74	1.5e-23
GO:0009408	response to heat	214	37	5.04	1.7e-23
GO:0007006	mitochondrial membrane organization	114	29	2.68	2.5e-23
GO:0031109	microtubule polymerization or depolymeri...	107	28	2.52	7.0e-23
GO:0007179	transforming growth factor beta receptor...	88	26	2.07	9.3e-23
GO:0071356	cellular response to tumor necrosis fact...	119	29	2.8	9.7e-23
GO:0034612	response to tumor necrosis factor	121	29	2.85	1.6e-22
GO:1903708	positive regulation of hemopoiesis	91	26	2.14	2.5e-22
GO:0030218	erythrocyte differentiation	101	27	2.38	2.5e-22
GO:0051225	spindle assembly	113	28	2.66	3.6e-22
GO:0002931	response to ischemia	83	25	1.95	4.0e-22
GO:1905897	regulation of response to endoplasmic re...	83	25	1.95	4.0e-22
GO:0002262	myeloid cell homeostasis	116	28	2.73	7.9e-22
GO:0034101	erythrocyte homeostasis	116	28	2.73	7.9e-22
GO:0032436	positive regulation of proteasomal ubiqu...	86	25	2.02	1.1e-21
GO:2000060	positive regulation of ubiquitin-depende...	86	25	2.02	1.1e-21
GO:0002221	pattern recognition receptor signaling p...	89	25	2.1	2.8e-21
GO:0007088	regulation of mitotic nuclear division	110	27	2.59	3.0e-21
GO:1903320	regulation of protein modification by sm...	160	31	3.77	4.2e-21
GO:0030308	negative regulation of cell growth	91	25	2.14	5.1e-21
GO:0043154	negative regulation of cysteine-type end...	91	25	2.14	5.1e-21
GO:0090316	positive regulation of intracellular pro...	91	25	2.14	5.1e-21
GO:0051091	positive regulation of DNA-binding trans...	124	28	2.92	5.7e-21
GO:0006605	protein targeting	420	46	9.89	6.8e-21
GO:2000117	negative regulation of cysteine-type end...	92	25	2.17	6.9e-21
GO:1902905	positive regulation of supramolecular fi...	125	28	2.94	7.3e-21
GO:0090092	regulation of transmembrane receptor pro...	103	26	2.43	8.2e-21
GO:0071560	cellular response to transforming growth...	105	26	2.47	1.4e-20
GO:0008637	apoptotic mitochondrial changes	95	25	2.24	1.7e-20
GO:0072594	establishment of protein localization to...	517	50	12.17	1.7e-20
GO:0010821	regulation of mitochondrion organization	98	25	2.31	3.9e-20
GO:2000058	regulation of ubiquitin-dependent protei...	121	27	2.85	4.5e-20
GO:0043281	regulation of cysteine-type endopeptidas...	146	29	3.44	4.8e-20
GO:0032434	regulation of proteasomal ubiquitin-depe...	110	26	2.59	5.1e-20
GO:0051345	positive regulation of hydrolase activit...	221	34	5.2	8.4e-20
GO:0071559	response to transforming growth factor b...	112	26	2.64	8.4e-20
GO:0009266	response to temperature stimulus	271	37	6.38	8.9e-20
GO:0006281	DNA repair	150	29	3.53	1.1e-19
GO:0097191	extrinsic apoptotic signaling pathway	102	25	2.4	1.1e-19
GO:0006839	mitochondrial transport	165	30	3.88	1.4e-19
GO:0045637	regulation of myeloid cell differentiati...	103	25	2.43	1.5e-19
GO:2000116	regulation of cysteine-type endopeptidas...	152	29	3.58	1.6e-19
GO:0051495	positive regulation of cytoskeleton orga...	139	28	3.27	1.6e-19
GO:0007338	single fertilization	128	27	3.01	2.2e-19
GO:0090287	regulation of cellular response to growt...	116	26	2.73	2.2e-19
GO:0002764	immune response-regulating signaling pat...	155	29	3.65	2.8e-19
GO:0032271	regulation of protein polymerization	170	30	4	3.5e-19
GO:0051783	regulation of nuclear division	132	27	3.11	5.2e-19
GO:1901800	positive regulation of proteasomal prote...	109	25	2.57	6.5e-19
GO:0045089	positive regulation of innate immune res...	111	25	2.61	1.1e-18
GO:1903052	positive regulation of proteolysis invol...	113	25	2.66	1.7e-18
GO:1903364	positive regulation of cellular protein ...	126	26	2.97	2.0e-18
GO:0035966	response to topologically incorrect prot...	181	30	4.26	2.3e-18
GO:0050821	protein stabilization	181	30	4.26	2.3e-18
GO:0051090	regulation of DNA-binding transcription ...	153	28	3.6	2.4e-18
GO:0007052	mitotic spindle organization	115	25	2.71	2.7e-18
GO:0035967	cellular response to topologically incor...	154	28	3.63	2.9e-18
GO:0006457	protein folding	300	37	7.06	3.1e-18
GO:0051258	protein polymerization	183	30	4.31	3.1e-18
GO:1902115	regulation of organelle assembly	116	25	2.73	3.3e-18
GO:2001243	negative regulation of intrinsic apoptot...	129	26	3.04	3.8e-18
GO:0001819	positive regulation of cytokine producti...	156	28	3.67	4.2e-18
GO:0031334	positive regulation of protein-containin...	171	29	4.03	4.8e-18
GO:0009566	fertilization	144	27	3.39	5.6e-18
GO:0048872	homeostasis of number of cells	160	28	3.77	8.5e-18
GO:0006402	mRNA catabolic process	479	45	11.28	1.2e-17
GO:0070507	regulation of microtubule cytoskeleton o...	162	28	3.81	1.2e-17
GO:0008037	cell recognition	177	29	4.17	1.3e-17
GO:0032388	positive regulation of intracellular tra...	124	25	2.92	1.9e-17
GO:2001242	regulation of intrinsic apoptotic signal...	180	29	4.24	2.1e-17
GO:0016567	protein ubiquitination	212	31	4.99	2.4e-17
GO:0006986	response to unfolded protein	152	27	3.58	2.4e-17
GO:0034620	cellular response to unfolded protein	126	25	2.97	2.8e-17
GO:0007178	transmembrane receptor protein serine/th...	140	26	3.3	3.3e-17
GO:0006401	RNA catabolic process	492	45	11.58	3.3e-17
GO:0007051	spindle organization	171	28	4.03	5.3e-17
GO:0033157	regulation of intracellular protein tran...	143	26	3.37	5.8e-17
GO:0045732	positive regulation of protein catabolic...	143	26	3.37	5.8e-17
GO:0002833	positive regulation of response to bioti...	131	25	3.08	7.5e-17
GO:0032886	regulation of microtubule-based process	174	28	4.1	8.6e-17
GO:0010951	negative regulation of endopeptidase act...	133	25	3.13	1.1e-16
GO:0032446	protein modification by small protein co...	226	31	5.32	1.6e-16
GO:0010466	negative regulation of peptidase activit...	135	25	3.18	1.6e-16
GO:0043085	positive regulation of catalytic activit...	400	40	9.42	1.8e-16
GO:0001817	regulation of cytokine production	195	29	4.59	2.0e-16
GO:0031349	positive regulation of defense response	152	26	3.58	2.8e-16
GO:0061136	regulation of proteasomal protein catabo...	153	26	3.6	3.3e-16
GO:1903050	regulation of proteolysis involved in ce...	168	27	3.96	3.5e-16
GO:0001816	cytokine production	217	30	5.11	4.4e-16
GO:0045088	regulation of innate immune response	155	26	3.65	4.6e-16
GO:0045862	positive regulation of proteolysis	202	29	4.76	5.3e-16
GO:0052548	regulation of endopeptidase activity	202	29	4.76	5.3e-16
GO:2001234	negative regulation of apoptotic signali...	158	26	3.72	7.5e-16
GO:0034655	nucleobase-containing compound catabolic...	608	48	14.32	7.7e-16
GO:0033365	protein localization to organelle	663	50	15.61	9.2e-16
GO:1903706	regulation of hemopoiesis	160	26	3.77	1.0e-15
GO:0031647	regulation of protein stability	224	30	5.27	1.1e-15
GO:0030099	myeloid cell differentiation	176	27	4.14	1.2e-15
GO:0045861	negative regulation of proteolysis	176	27	4.14	1.2e-15
GO:1903362	regulation of cellular protein catabolic...	176	27	4.14	1.2e-15
GO:0052547	regulation of peptidase activity	209	29	4.92	1.4e-15
GO:0046677	response to antibiotic	340	36	8.01	1.6e-15
GO:0009612	response to mechanical stimulus	180	27	4.24	2.1e-15
GO:0010639	negative regulation of organelle organiz...	230	30	5.42	2.3e-15
GO:0046700	heterocycle catabolic process	626	48	14.74	2.5e-15
GO:0016071	mRNA metabolic process	763	53	17.96	2.7e-15
GO:0045471	response to ethanol	215	29	5.06	3.0e-15
GO:0043488	regulation of mRNA stability	152	25	3.58	3.0e-15
GO:1902850	microtubule cytoskeleton organization in...	168	26	3.96	3.6e-15
GO:0043487	regulation of RNA stability	154	25	3.63	4.2e-15
GO:0019439	aromatic compound catabolic process	634	48	14.93	4.3e-15
GO:0097193	intrinsic apoptotic signaling pathway	218	29	5.13	4.3e-15
GO:0061013	regulation of mRNA catabolic process	156	25	3.67	5.7e-15
GO:0044270	cellular nitrogen compound catabolic pro...	639	48	15.05	5.9e-15
GO:0009126	purine nucleoside monophosphate metaboli...	337	35	7.93	8.1e-15
GO:0009167	purine ribonucleoside monophosphate meta...	337	35	7.93	8.1e-15
GO:2001233	regulation of apoptotic signaling pathwa...	224	29	5.27	9.0e-15
GO:0051051	negative regulation of transport	207	28	4.87	9.1e-15
GO:0006886	intracellular protein transport	788	53	18.55	1.1e-14
GO:0009161	ribonucleoside monophosphate metabolic p...	341	35	8.03	1.2e-14
GO:1901361	organic cyclic compound catabolic proces...	651	48	15.33	1.2e-14
GO:1902903	regulation of supramolecular fiber organ...	230	29	5.42	1.8e-14
GO:0009123	nucleoside monophosphate metabolic proce...	346	35	8.15	1.8e-14
GO:0042176	regulation of protein catabolic process	215	28	5.06	2.5e-14
GO:0046034	ATP metabolic process	352	35	8.29	3.1e-14
GO:0050778	positive regulation of immune response	236	29	5.56	3.7e-14
GO:0140014	mitotic nuclear division	202	27	4.76	4.1e-14
GO:0140694	non-membrane-bounded organelle assembly	400	37	9.42	4.6e-14
GO:0060249	anatomical structure homeostasis	239	29	5.63	5.1e-14
GO:0071363	cellular response to growth factor stimu...	297	32	6.99	5.7e-14
GO:0009205	purine ribonucleoside triphosphate metab...	359	35	8.45	5.7e-14
GO:0009144	purine nucleoside triphosphate metabolic...	360	35	8.48	6.2e-14
GO:0019221	cytokine-mediated signaling pathway	241	29	5.67	6.4e-14
GO:0043484	regulation of RNA splicing	260	30	6.12	6.7e-14
GO:0009199	ribonucleoside triphosphate metabolic pr...	361	35	8.5	6.8e-14
GO:0034599	cellular response to oxidative stress	224	28	5.27	7.2e-14
GO:0030522	intracellular receptor signaling pathway	190	26	4.47	7.5e-14
GO:0009141	nucleoside triphosphate metabolic proces...	364	35	8.57	8.8e-14
GO:0006974	cellular response to DNA damage stimulus	244	29	5.74	8.9e-14
GO:1903829	positive regulation of cellular protein ...	193	26	4.54	1.1e-13
GO:0006259	DNA metabolic process	346	34	8.15	1.2e-13
GO:0070848	response to growth factor	305	32	7.18	1.2e-13
GO:0051346	negative regulation of hydrolase activit...	195	26	4.59	1.4e-13
GO:0031400	negative regulation of protein modificat...	287	31	6.76	1.5e-13
GO:0002831	regulation of response to biotic stimulu...	200	26	4.71	2.6e-13
GO:0007346	regulation of mitotic cell cycle	314	32	7.39	2.8e-13
GO:0010638	positive regulation of organelle organiz...	316	32	7.44	3.3e-13
GO:0000122	negative regulation of transcription by ...	296	31	6.97	3.4e-13
GO:0043086	negative regulation of catalytic activit...	296	31	6.97	3.4e-13
GO:0043254	regulation of protein-containing complex...	317	32	7.46	3.6e-13
GO:0045926	negative regulation of growth	186	25	4.38	3.8e-13
GO:0051129	negative regulation of cellular componen...	361	34	8.5	4.1e-13
GO:0032103	positive regulation of response to exter...	222	27	5.23	4.4e-13
GO:0071345	cellular response to cytokine stimulus	432	37	10.17	5.3e-13
GO:0044271	cellular nitrogen compound biosynthetic ...	1935	82	45.56	5.8e-13
GO:0044093	positive regulation of molecular functio...	511	40	12.03	8.4e-13
GO:0046907	intracellular transport	1132	61	26.65	9.3e-13
GO:0062197	cellular response to chemical stress	248	28	5.84	9.7e-13
GO:0050790	regulation of catalytic activity	675	46	15.89	1.2e-12
GO:0001558	regulation of cell growth	197	25	4.64	1.4e-12
GO:0097305	response to alcohol	293	30	6.9	1.7e-12
GO:0044089	positive regulation of cellular componen...	273	29	6.43	1.7e-12
GO:0051336	regulation of hydrolase activity	403	35	9.49	1.9e-12
GO:0051276	chromosome organization	451	37	10.62	2.0e-12
GO:0010564	regulation of cell cycle process	340	32	8.01	2.6e-12
GO:0031331	positive regulation of cellular cataboli...	221	26	5.2	2.8e-12
GO:1902533	positive regulation of intracellular sig...	320	31	7.53	2.9e-12
GO:0080135	regulation of cellular response to stres...	321	31	7.56	3.1e-12
GO:0031347	regulation of defense response	241	27	5.67	3.3e-12
GO:1903311	regulation of mRNA metabolic process	302	30	7.11	3.7e-12
GO:0032386	regulation of intracellular transport	227	26	5.34	5.3e-12
GO:0034622	cellular protein-containing complex asse...	732	47	17.23	5.5e-12
GO:0045892	negative regulation of transcription, DN...	418	35	9.84	5.6e-12
GO:0051222	positive regulation of protein transport	211	25	4.97	6.9e-12
GO:0097190	apoptotic signaling pathway	289	29	6.8	7.2e-12
GO:0034097	response to cytokine	473	37	11.14	8.9e-12
GO:0008285	negative regulation of cell population p...	273	28	6.43	1.1e-11
GO:1904951	positive regulation of establishment of ...	235	26	5.53	1.2e-11
GO:0009896	positive regulation of catabolic process	236	26	5.56	1.3e-11
GO:0010608	posttranscriptional regulation of gene e...	530	39	12.48	1.3e-11
GO:1903507	negative regulation of nucleic acid-temp...	431	35	10.15	1.4e-11
GO:0070647	protein modification by small protein co...	362	32	8.52	1.4e-11
GO:1902679	negative regulation of RNA biosynthetic ...	433	35	10.19	1.6e-11
GO:0061024	membrane organization	436	35	10.27	1.9e-11
GO:0050776	regulation of immune response	302	29	7.11	2.2e-11
GO:0009150	purine ribonucleotide metabolic process	438	35	10.31	2.2e-11
GO:0045666	positive regulation of neuron differenti...	242	26	5.7	2.4e-11
GO:0030162	regulation of proteolysis	348	31	8.19	2.7e-11
GO:0009259	ribonucleotide metabolic process	444	35	10.45	3.2e-11
GO:0006163	purine nucleotide metabolic process	447	35	10.52	3.9e-11
GO:0051493	regulation of cytoskeleton organization	310	29	7.3	4.2e-11
GO:0070925	organelle assembly	498	37	11.73	4.2e-11
GO:0002684	positive regulation of immune system pro...	314	29	7.39	5.7e-11
GO:0009314	response to radiation	272	27	6.4	5.8e-11
GO:0034976	response to endoplasmic reticulum stress	234	25	5.51	7.0e-11
GO:0043161	proteasome-mediated ubiquitin-dependent ...	254	26	5.98	7.1e-11
GO:0034645	cellular macromolecule biosynthetic proc...	1786	75	42.05	8.2e-11
GO:0010629	negative regulation of gene expression	1042	55	24.53	8.7e-11
GO:0006396	RNA processing	646	42	15.21	9.4e-11
GO:0050769	positive regulation of neurogenesis	258	26	6.07	1.0e-10
GO:1903827	regulation of cellular protein localizat...	279	27	6.57	1.1e-10
GO:0072521	purine-containing compound metabolic pro...	464	35	10.92	1.1e-10
GO:0015031	protein transport	1016	54	23.92	1.2e-10
GO:0030097	hemopoiesis	346	30	8.15	1.2e-10
GO:0034613	cellular protein localization	1056	55	24.86	1.5e-10
GO:0019693	ribose phosphate metabolic process	469	35	11.04	1.5e-10
GO:0008380	RNA splicing	420	33	9.89	1.6e-10
GO:0070727	cellular macromolecule localization	1091	56	25.69	1.6e-10
GO:0015833	peptide transport	1025	54	24.13	1.6e-10
GO:0032101	regulation of response to external stimu...	352	30	8.29	1.9e-10
GO:0000226	microtubule cytoskeleton organization	400	32	9.42	2.0e-10
GO:0045934	negative regulation of nucleobase-contai...	579	39	13.63	2.1e-10
GO:0045184	establishment of protein localization	1066	55	25.1	2.2e-10
GO:0045087	innate immune response	291	27	6.85	2.8e-10
GO:0009059	macromolecule biosynthetic process	1827	75	43.02	2.9e-10
GO:0097435	supramolecular fiber organization	361	30	8.5	3.5e-10
GO:0007017	microtubule-based process	485	35	11.42	4.0e-10
GO:0000280	nuclear division	296	27	6.97	4.1e-10
GO:2000113	negative regulation of cellular macromol...	592	39	13.94	4.1e-10
GO:0042886	amide transport	1049	54	24.7	4.1e-10
GO:0007005	mitochondrion organization	387	31	9.11	4.2e-10
GO:1902532	negative regulation of intracellular sig...	275	26	6.47	4.3e-10
GO:0048534	hematopoietic or lymphoid organ developm...	364	30	8.57	4.3e-10
GO:0009117	nucleotide metabolic process	540	37	12.71	4.6e-10
GO:0006753	nucleoside phosphate metabolic process	541	37	12.74	4.9e-10
GO:0002520	immune system development	366	30	8.62	4.9e-10
GO:0051962	positive regulation of nervous system de...	277	26	6.52	5.0e-10
GO:0006511	ubiquitin-dependent protein catabolic pr...	299	27	7.04	5.2e-10
GO:0019941	modification-dependent protein catabolic...	299	27	7.04	5.2e-10
GO:0010498	proteasomal protein catabolic process	278	26	6.55	5.4e-10
GO:0009636	response to toxic substance	466	34	10.97	5.8e-10
GO:0048285	organelle fission	302	27	7.11	6.5e-10
GO:0051726	regulation of cell cycle	494	35	11.63	6.6e-10
GO:0044092	negative regulation of molecular functio...	395	31	9.3	7.0e-10
GO:0032270	positive regulation of cellular protein ...	631	40	14.86	7.3e-10
GO:0043632	modification-dependent macromolecule cat...	304	27	7.16	7.6e-10
GO:0006979	response to oxidative stress	351	29	8.26	8.6e-10
GO:0044265	cellular macromolecule catabolic process	844	47	19.87	9.4e-10
GO:0016049	cell growth	287	26	6.76	1.1e-09
GO:0002181	cytoplasmic translation	430	32	10.12	1.3e-09
GO:0010558	negative regulation of macromolecule bio...	616	39	14.5	1.4e-09
GO:0045321	leukocyte activation	508	35	11.96	1.4e-09
GO:0010720	positive regulation of cell development	298	26	7.02	2.5e-09
GO:0055086	nucleobase-containing small molecule met...	573	37	13.49	2.5e-09
GO:0002366	leukocyte activation involved in immune ...	441	32	10.38	2.5e-09
GO:0002263	cell activation involved in immune respo...	442	32	10.41	2.7e-09
GO:0031399	regulation of protein modification proce...	605	38	14.24	3.1e-09
GO:0051247	positive regulation of protein metabolic...	665	40	15.66	3.6e-09
GO:0065009	regulation of molecular function	943	49	22.2	3.8e-09
GO:0043066	negative regulation of apoptotic process	475	33	11.18	4.1e-09
GO:0043069	negative regulation of programmed cell d...	476	33	11.21	4.3e-09
GO:0051223	regulation of protein transport	306	26	7.2	4.4e-09
GO:0031327	negative regulation of cellular biosynth...	641	39	15.09	4.5e-09
GO:1903047	mitotic cell cycle process	479	33	11.28	5.0e-09
GO:0009890	negative regulation of biosynthetic proc...	674	40	15.87	5.4e-09
GO:0044249	cellular biosynthetic process	2288	83	53.87	5.6e-09
GO:0051253	negative regulation of RNA metabolic pro...	535	35	12.6	5.8e-09
GO:0045664	regulation of neuron differentiation	311	26	7.32	6.2e-09
GO:0009057	macromolecule catabolic process	926	48	21.8	6.8e-09
GO:0044087	regulation of cellular component biogene...	538	35	12.67	6.8e-09
GO:0070201	regulation of establishment of protein l...	336	27	7.91	7.1e-09
GO:0090087	regulation of peptide transport	313	26	7.37	7.2e-09
GO:0045597	positive regulation of cell differentiat...	410	30	9.65	7.7e-09
GO:0009628	response to abiotic stimulus	773	43	18.2	8.0e-09
GO:0002283	neutrophil activation involved in immune...	412	30	9.7	8.7e-09
GO:0002446	neutrophil mediated immunity	412	30	9.7	8.7e-09
GO:0042119	neutrophil activation	412	30	9.7	8.7e-09
GO:0043312	neutrophil degranulation	412	30	9.7	8.7e-09
GO:0043299	leukocyte degranulation	414	30	9.75	9.7e-09
GO:0034641	cellular nitrogen compound metabolic pro...	2553	88	60.11	1.0e-08
GO:0007167	enzyme linked receptor protein signaling...	415	30	9.77	1.0e-08
GO:0036230	granulocyte activation	415	30	9.77	1.0e-08
GO:0001775	cell activation	547	35	12.88	1.1e-08
GO:0002275	myeloid cell activation involved in immu...	416	30	9.79	1.1e-08
GO:0002444	myeloid leukocyte mediated immunity	419	30	9.87	1.3e-08
GO:0019637	organophosphate metabolic process	637	38	15	1.4e-08
GO:0051649	establishment of localization in cell	1594	66	37.53	1.4e-08
GO:1901576	organic substance biosynthetic process	2326	83	54.77	1.5e-08
GO:0002274	myeloid leukocyte activation	423	30	9.96	1.6e-08
GO:0022402	cell cycle process	676	39	15.92	2.1e-08
GO:0002443	leukocyte mediated immunity	429	30	10.1	2.2e-08
GO:0009058	biosynthetic process	2345	83	55.21	2.4e-08
GO:0071705	nitrogen compound transport	1170	54	27.55	2.8e-08
GO:0010605	negative regulation of macromolecule met...	1246	56	29.34	3.3e-08
GO:0051603	proteolysis involved in cellular protein...	367	27	8.64	4.8e-08
GO:0000278	mitotic cell cycle	529	33	12.46	6.1e-08
GO:0044257	cellular protein catabolic process	399	28	9.39	7.1e-08
GO:0007049	cell cycle	773	41	18.2	8.8e-08
GO:0009967	positive regulation of signal transducti...	512	32	12.05	1.0e-07
GO:0009892	negative regulation of metabolic process	1360	58	32.02	1.1e-07
GO:0080134	regulation of response to stress	514	32	12.1	1.1e-07
GO:0071702	organic substance transport	1253	55	29.5	1.2e-07
GO:0032269	negative regulation of cellular protein ...	549	33	12.93	1.5e-07
GO:0051130	positive regulation of cellular componen...	637	36	15	1.6e-07
GO:0042127	regulation of cell population proliferat...	582	34	13.7	1.8e-07
GO:0050767	regulation of neurogenesis	367	26	8.64	1.9e-07
GO:0008104	protein localization	1307	56	30.77	2.0e-07
GO:0030163	protein catabolic process	447	29	10.52	2.2e-07
GO:0006355	regulation of transcription, DNA-templat...	864	43	20.34	2.4e-07
GO:0033043	regulation of organelle organization	618	35	14.55	2.5e-07
GO:0007010	cytoskeleton organization	678	37	15.96	2.5e-07
